ジャンル名,実売上xジャンル別係数
食品>魚介類・水産加工品>魚卵>たらこ>切れ子,2194000
食品>フルーツ・果物>パッションフルーツ,2110000
食品>魚介類・水産加工品>貝類>つぶ貝,3256000
食品>惣菜>おせちセット>和洋中おせちセット,0
食品>調味料>スパイス>ジンジャー,3087000
食品>惣菜>和風惣菜>丼>豚丼,3348000
食品>調味料>砂糖・甘味料>オリゴ糖,3426000
食品>惣菜>カレー,74270000
食品>惣菜>中華惣菜・点心>小籠包,4898000
食品>調味料>酢>玄米酢,1930000
食品>フルーツ・果物>あんず,2813000
食品>惣菜>洋風惣菜>とんかつ>ロース,4329000
食品>魚介類・水産加工品>貝類>その他,1581000
食品>惣菜>その他,39850000
食品>漬物・梅干し・キムチ>漬物>浅漬け,2061000
食品>調味料>料理酒>発酵調味料,3877000
食品>惣菜>弁当・駅弁,85086000
食品>精肉・肉加工品>鶏肉>カワ,1834000
食品>調味料>砂糖・甘味料>氷砂糖,2855000
食品>麺類>パスタ>ロングパスタ>その他,2980000
食品>チーズ・乳製品>チーズ>セミハード>その他,2526000
食品>調味料>ドレッシング>ごまドレッシング,1638000
食品>惣菜>韓国惣菜>セット・詰め合わせ,4533000
食品>調味料>みそ>粒みそ,2223000
食品>精肉・肉加工品>加工品>ハム>ロースハム,1996000
食品>調味料>ケチャップ,4136000
食品>調味料>しお>クリスタルソルト,2790000
食品>チーズ・乳製品>ヨーグルト>無糖ヨーグルト,2404000
食品>調味料>ハーブ>その他,3832000
食品>パン・ジャム・シリアル>パン>ドイツパン,2479000
食品>調味料>酢>セット・詰め合わせ,2468000
食品>調味料>しお>セット・詰め合わせ,1472000
食品>チーズ・乳製品>チーズ>白カビ>カマンベール,3739000
食品>精肉・肉加工品>加工品>ソーセージ>その他,2407000
食品>調味料>しお>その他,58301000
食品>豆腐・納豆・こんにゃく>納豆>小粒納豆,2475000
食品>フルーツ・果物>栗,2752000
食品>魚介類・水産加工品>その他水産物>イワナ,393000
食品>調味料>しお>ハーブソルト,2029000
食品>惣菜>洋風惣菜>グラタン,2055000
食品>惣菜>中華惣菜・点心>餃子>水餃子,1641000
食品>精肉・肉加工品>牛肉>レバー,2389000
食品>惣菜>おせちセット>中華おせちセット,40000
食品>漬物・梅干し・キムチ>梅干し>小梅,2067000
食品>調味料>アジアン・エスニック調味料>その他,2311000
食品>調味料>しお>岩塩,6937000
